customer_id,gender,age,join_date,loyalty_tier,region,city,preferred_channel
C00001,M,41,2024-03-02,Bronze,South,Baytown,Mobile
C00002,M,33,2024-11-08,Bronze,South,Baytown,InStore
C00003,M,43,2024-10-04,Platinum,East,Lakeview,InStore
C00004,F,53,2024-12-26,Gold,South,Sunvale,InStore
C00005,F,32,2024-04-12,Bronze,North,Frostford,Mobile
C00006,M,32,2023-11-30,Gold,North,Frostford,InStore
C00007,O,54,2024-10-29,Silver,Central,Centrum,InStore
C00008,M,44,2025-04-18,Gold,South,Southport,InStore
C00009,F,29,2025-01-30,Gold,East,Rivermouth,InStore
C00010,M,42,2023-09-16,Bronze,Central,Grandview,Mobile
C00011,M,29,2024-04-24,Bronze,North,Frostford,Mobile
C00012,M,29,2025-04-08,Bronze,Central,Centrum,InStore
C00013,F,38,2023-08-06,Silver,East,Rivermouth,Mobile
C00014,M,18,2024-09-21,Silver,North,Northville,Online
C00015,M,18,2024-11-25,Bronze,South,Southport,Online
C00016,M,28,2025-04-25,Bronze,West,Westhaven,InStore
C00017,F,23,2025-05-17,Gold,East,Easton,InStore
C00018,M,39,2025-03-31,Platinum,Central,Grandview,Online
C00019,M,24,2024-04-06,Silver,South,Baytown,Online
C00020,F,18,2024-12-11,Bronze,West,Westhaven,InStore
C00021,M,53,2024-11-27,Bronze,South,Sunvale,InStore
C00022,M,32,2024-03-16,Bronze,Central,Midtown,InStore
C00023,F,36,2024-04-27,Gold,East,Rivermouth,Online
C00024,F,18,2024-07-27,Bronze,North,Winterton,InStore
C00025,M,28,2023-12-30,Silver,North,Northville,Online
C00026,F,36,2023-10-30,Bronze,North,Frostford,Mobile
C00027,M,21,2024-09-17,Silver,North,Winterton,InStore
C00028,F,40,2024-10-22,Silver,North,Northville,Online
C00029,M,28,2024-07-11,Gold,West,Hillcrest,InStore
C00030,F,31,2025-06-10,Bronze,East,Rivermouth,Online
C00031,M,28,2024-01-28,Bronze,West,Westhaven,InStore
C00032,M,57,2025-03-25,Bronze,Central,Grandview,Online
C00033,M,35,2025-01-04,Gold,East,Lakeview,Online
C00034,M,22,2024-11-22,Gold,West,Westhaven,Mobile
C00035,F,45,2023-09-13,Silver,West,Oakridge,Online
C00036,M,20,2024-04-17,Silver,South,Southport,InStore
C00037,F,38,2023-11-03,Silver,South,Southport,Online
C00038,F,18,2024-08-12,Bronze,North,Northville,Online
C00039,F,19,2024-02-03,Gold,South,Baytown,Online
C00040,F,37,2025-06-17,Bronze,South,Southport,InStore
C00041,M,44,2024-08-01,Bronze,North,Winterton,Mobile
C00042,M,37,2024-10-18,Silver,Central,Grandview,Online
C00043,F,34,2024-02-22,Bronze,West,Oakridge,Online
C00044,F,31,2025-01-24,Bronze,North,Frostford,InStore
C00045,O,18,2024-03-15,Silver,South,Baytown,Online
C00046,F,26,2023-09-08,Bronze,North,Winterton,InStore
C00047,F,29,2023-08-13,Silver,East,Lakeview,Online
C00048,F,48,2023-08-28,Bronze,East,Lakeview,InStore
C00049,M,39,2024-06-18,Bronze,Central,Centrum,Online
C00050,M,18,2024-01-05,Bronze,South,Baytown,Mobile
C00051,F,39,2023-08-12,Bronze,Central,Midtown,InStore
C00052,F,30,2024-05-02,Silver,Central,Midtown,Mobile
C00053,M,27,2023-10-29,Bronze,North,Winterton,InStore
C00054,M,42,2024-10-08,Silver,West,Hillcrest,Mobile
C00055,F,47,2023-12-04,Silver,East,Lakeview,Online
C00056,M,46,2024-05-12,Silver,East,Lakeview,InStore
C00057,F,25,2025-01-16,Platinum,East,Rivermouth,Online
C00058,F,31,2025-05-21,Silver,West,Hillcrest,Mobile
C00059,M,39,2023-12-25,Bronze,West,Oakridge,InStore
C00060,F,47,2024-09-21,Bronze,Central,Midtown,InStore
C00061,M,29,2024-06-01,Bronze,Central,Centrum,Online
C00062,F,33,2025-06-21,Silver,East,Rivermouth,Online
C00063,F,22,2023-11-04,Bronze,Central,Midtown,Online
C00064,O,21,2024-09-04,Silver,East,Easton,Online
C00065,F,45,2024-10-23,Silver,West,Westhaven,InStore
C00066,M,51,2024-02-20,Bronze,East,Lakeview,Online
C00067,F,34,2025-05-29,Gold,North,Frostford,InStore
C00068,F,47,2025-04-04,Bronze,West,Westhaven,InStore
C00069,F,39,2023-11-06,Bronze,East,Easton,InStore
C00070,M,27,2023-11-09,Silver,East,Lakeview,InStore
C00071,F,39,2024-05-11,Silver,Central,Midtown,InStore
C00072,M,53,2025-03-10,Silver,South,Southport,InStore
C00073,F,35,2023-10-25,Bronze,East,Lakeview,Online
C00074,M,54,2024-12-19,Bronze,West,Hillcrest,InStore
C00075,F,18,2024-02-18,Gold,West,Westhaven,InStore
C00076,M,45,2023-10-16,Gold,East,Rivermouth,InStore
C00077,M,36,2024-02-26,Silver,Central,Grandview,InStore
C00078,M,31,2025-04-19,Bronze,West,Westhaven,InStore
C00079,M,36,2024-05-16,Silver,North,Winterton,InStore
C00080,M,18,2024-06-22,Bronze,North,Northville,InStore
C00081,M,32,2024-05-09,Bronze,West,Hillcrest,Online
C00082,F,39,2024-09-29,Gold,South,Baytown,Online
C00083,F,53,2023-08-27,Bronze,North,Frostford,InStore
C00084,M,29,2024-06-04,Platinum,East,Easton,InStore
C00085,M,25,2024-04-02,Bronze,South,Sunvale,Online
C00086,M,29,2024-12-23,Bronze,East,Easton,InStore
C00087,F,46,2023-08-14,Silver,East,Easton,InStore
C00088,F,39,2025-03-26,Gold,East,Rivermouth,InStore
C00089,F,29,2024-01-02,Silver,South,Sunvale,InStore
C00090,M,41,2025-03-29,Gold,West,Hillcrest,InStore
C00091,F,36,2023-09-08,Silver,North,Frostford,InStore
C00092,F,47,2023-09-09,Silver,West,Westhaven,Online
C00093,M,27,2024-12-25,Gold,South,Southport,Online
C00094,F,31,2025-05-27,Bronze,Central,Grandview,InStore
C00095,M,30,2024-06-29,Silver,East,Rivermouth,Online
C00096,F,18,2023-08-08,Bronze,Central,Grandview,Online
C00097,M,39,2024-01-25,Platinum,East,Lakeview,Online
C00098,F,38,2024-09-27,Platinum,South,Baytown,Mobile
C00099,F,35,2024-11-28,Bronze,Central,Centrum,InStore
C00100,F,32,2024-10-03,Silver,South,Baytown,InStore
C00101,F,18,2025-05-02,Gold,South,Southport,InStore
C00102,F,30,2023-11-15,Bronze,North,Northville,Online
C00103,F,31,2024-07-26,Silver,East,Easton,Mobile
C00104,M,25,2024-06-01,Gold,East,Rivermouth,InStore
