product_id,category,subcategory,brand,unit_price,unit_cost,is_discountable
P0001,Beauty,Skincare,Pine,47.44,21.38,1
P0002,Electronics,Accessories,Orchid,576.28,402.75,0
P0003,Grocery,Fresh,Aster,6.71,4.36,1
P0004,Clothing,Women,Aster,87.84,56.99,0
P0005,Grocery,Fresh,Atlas,15.0,10.8,1
P0006,Clothing,Women,Atlas,120.0,65.56,1
P0007,Sports,Fitness,Nimbus,180.0,115.91,1
P0008,Clothing,Kids,Nova,35.62,22.43,1
P0009,Clothing,Women,Nimbus,54.23,34.78,1
P0010,Grocery,Snacks,Zenith,6.93,4.22,1
P0011,Grocery,Fresh,Nimbus,9.82,5.74,0
P0012,Grocery,Beverages,Atlas,15.0,8.55,1
P0013,Clothing,Kids,Aster,46.77,27.6,1
P0014,Grocery,Fresh,Pine,11.59,5.45,1
P0015,Electronics,Mobile,Nimbus,388.77,184.0,1
P0016,Clothing,Men,Pine,116.15,82.29,1
P0017,Electronics,Audio,Pine,335.88,196.5,1
P0018,Grocery,Fresh,Nova,3.97,2.69,0
P0019,Grocery,Pantry,Pine,7.1,4.03,1
P0020,Sports,Outdoor,Aster,91.17,55.02,0
P0021,Home,Cleaning,Orchid,101.68,69.0,1
P0022,Clothing,Footwear,Orchid,68.72,37.93,1
P0023,Grocery,Pantry,Kite,15.0,9.43,0
P0024,Sports,Fitness,Zenith,72.23,50.86,1
P0025,Home,Cleaning,Nimbus,147.48,91.13,0
P0026,Electronics,Audio,Zenith,865.01,432.68,1
P0027,Beauty,Haircare,Aster,17.6,8.45,0
P0028,Grocery,Pantry,Pine,8.71,6.33,1
P0029,Clothing,Men,Orchid,26.44,13.06,1
P0030,Home,Cleaning,Zenith,77.42,37.86,1
P0031,Grocery,Pantry,Aster,3.81,2.26,1
P0032,Sports,Shoes,Orchid,42.72,31.97,1
P0033,Home,Furniture,Pine,141.92,70.32,0
P0034,Clothing,Women,Zenith,41.72,30.93,1
P0035,Grocery,Fresh,Orchid,8.17,4.98,0
P0036,Grocery,Fresh,Nimbus,10.26,5.38,1
P0037,Electronics,Mobile,Atlas,820.58,543.8,0
P0038,Home,Furniture,Nimbus,98.21,59.14,1
P0039,Grocery,Snacks,Kite,11.7,7.18,0
P0040,Clothing,Footwear,Kite,48.38,30.23,1
P0041,Home,Kitchen,Orchid,151.81,77.75,1
P0042,Grocery,Snacks,Atlas,6.78,4.54,1
P0043,Home,Furniture,Aster,228.18,134.27,1
P0044,Grocery,Pantry,Nimbus,5.82,2.88,1
P0045,Sports,Fitness,Aster,126.72,62.05,1
P0046,Clothing,Kids,Atlas,74.3,46.79,1
P0047,Grocery,Pantry,Aster,6.11,4.12,1
P0048,Electronics,Mobile,Atlas,445.33,208.11,1
P0049,Electronics,Audio,Orchid,343.03,254.15,1
P0050,Home,Furniture,Aster,124.42,75.13,0
P0051,Home,Decor,Nimbus,123.42,66.74,1
P0052,Clothing,Women,Pine,120.0,72.81,1
P0053,Grocery,Fresh,Kite,15.0,10.88,1
P0054,Grocery,Fresh,Pine,4.37,2.91,1
P0055,Grocery,Beverages,Aster,2.46,1.55,1
P0056,Clothing,Footwear,Pine,24.95,17.27,1
P0057,Beauty,Makeup,Nimbus,18.51,10.06,1
P0058,Clothing,Kids,Nimbus,41.34,18.99,1
P0059,Grocery,Fresh,Aster,12.28,8.33,1
P0060,Clothing,Kids,Orchid,39.83,18.29,1
P0061,Beauty,Skincare,Pine,60.0,38.6,1
P0062,Home,Cleaning,Orchid,163.57,89.97,1
P0063,Beauty,Haircare,Orchid,60.0,44.83,0
P0064,Grocery,Beverages,Atlas,8.91,6.67,0
P0065,Grocery,Pantry,Nova,15.0,7.06,0
P0066,Beauty,Fragrance,Aster,14.72,10.77,1
P0067,Home,Decor,Kite,140.26,92.57,0
P0068,Electronics,Accessories,Nimbus,495.55,282.33,1
P0069,Home,Furniture,Nimbus,215.55,98.58,1
P0070,Beauty,Skincare,Aster,17.48,10.75,1
P0071,Clothing,Kids,Atlas,120.0,54.22,0
P0072,Home,Furniture,Zenith,183.79,130.62,1
P0073,Electronics,Mobile,Zenith,424.42,209.48,1
P0074,Clothing,Men,Zenith,26.29,17.09,0
P0075,Clothing,Footwear,Atlas,54.89,29.52,0
P0076,Beauty,Fragrance,Kite,57.2,30.31,0
P0077,Beauty,Fragrance,Nimbus,60.0,36.88,0
P0078,Beauty,Haircare,Aster,37.91,17.44,0
P0079,Grocery,Snacks,Atlas,15.0,7.6,1
P0080,Home,Furniture,Nimbus,97.61,69.31,1
P0081,Home,Decor,Orchid,143.27,91.86,1
P0082,Home,Decor,Pine,250.0,147.24,0
P0083,Home,Decor,Pine,69.94,43.29,0
P0084,Beauty,Makeup,Atlas,18.58,13.47,1
P0085,Clothing,Kids,Nimbus,34.51,24.66,1
P0086,Clothing,Footwear,Nova,53.55,35.69,1
P0087,Grocery,Snacks,Kite,5.11,2.59,1
P0088,Electronics,Mobile,Zenith,406.76,270.3,1
P0089,Home,Cleaning,Kite,140.97,83.18,1
P0090,Beauty,Makeup,Kite,53.36,39.07,0
P0091,Grocery,Pantry,Atlas,9.13,6.48,1
P0092,Grocery,Fresh,Orchid,4.62,3.34,1
P0093,Home,Kitchen,Kite,45.17,33.01,1
P0094,Grocery,Pantry,Pine,4.29,2.08,0
P0095,Grocery,Snacks,Orchid,12.38,8.71,1
P0096,Grocery,Pantry,Aster,8.77,4.31,1
P0097,Grocery,Snacks,Kite,7.52,4.01,0
P0098,Grocery,Snacks,Kite,9.21,6.01,1
P0099,Electronics,Audio,Aster,413.16,264.55,1
P0100,Electronics,Accessories,Kite,175.6,84.54,1
P0101,Beauty,Makeup,Aster,55.81,33.08,0
P0102,Clothing,Footwear,Orchid,54.01,34.58,1
P0103,Home,Furniture,Pine,143.33,82.38,1
P0104,Grocery,Beverages,Aster,3.98,2.23,1
P0105,Grocery,Beverages,Nova,13.08,9.01,1
P0106,Home,Cleaning,Atlas,250.0,115.2,1
P0107,Grocery,Pantry,Atlas,8.9,5.26,1
P0108,Clothing,Kids,Aster,53.09,25.25,0
P0109,Clothing,Footwear,Atlas,111.06,76.03,1
P0110,Clothing,Kids,Kite,85.06,40.82,1
P0111,Grocery,Snacks,Zenith,9.69,6.79,1
P0112,Electronics,Accessories,Zenith,413.65,303.89,0
P0113,Home,Cleaning,Atlas,79.18,57.15,1
P0114,Grocery,Snacks,Orchid,15.0,10.01,1
P0115,Home,Furniture,Nimbus,119.6,81.17,1
P0116,Home,Kitchen,Orchid,97.07,51.47,0
P0117,Sports,Shoes,Nimbus,62.44,35.26,1
P0118,Grocery,Beverages,Zenith,8.89,4.48,1
P0119,Beauty,Makeup,Zenith,16.74,11.24,0
P0120,Clothing,Women,Aster,31.65,20.34,1
P0121,Electronics,Audio,Pine,900.0,553.06,1
P0122,Grocery,Snacks,Nova,12.71,8.3,1
P0123,Home,Cleaning,Orchid,155.77,83.7,0
P0124,Grocery,Snacks,Kite,15.0,7.44,1
P0125,Electronics,Mobile,Nimbus,543.17,342.73,1
P0126,Grocery,Snacks,Atlas,8.96,4.19,1
P0127,Beauty,Skincare,Kite,35.33,18.43,1
P0128,Home,Furniture,Pine,128.79,83.11,1
P0129,Home,Decor,Nimbus,250.0,127.87,1
P0130,Grocery,Beverages,Orchid,9.87,6.27,1
P0131,Grocery,Beverages,Aster,6.4,3.41,1
P0132,Home,Cleaning,Kite,204.34,124.28,1
P0133,Clothing,Footwear,Pine,81.45,56.44,1
P0134,Grocery,Fresh,Orchid,4.68,2.58,1
P0135,Home,Kitchen,Zenith,86.16,56.61,1
P0136,Sports,TeamSports,Zenith,98.31,71.69,1
P0137,Home,Decor,Orchid,50.16,34.02,1
P0138,Home,Cleaning,Orchid,85.5,62.82,1
P0139,Sports,Shoes,Orchid,136.17,92.36,1
P0140,Grocery,Fresh,Nimbus,9.13,4.6,1
P0141,Clothing,Men,Orchid,116.38,69.17,1
P0142,Sports,Fitness,Kite,104.99,68.49,0
P0143,Grocery,Fresh,Pine,8.3,4.71,1
P0144,Home,Decor,Nimbus,140.6,67.86,1
P0145,Clothing,Women,Orchid,15.4,11.33,1
P0146,Clothing,Kids,Nova,62.3,32.13,1
P0147,Home,Furniture,Atlas,80.79,53.28,1
P0148,Sports,Shoes,Nova,180.0,132.46,1
P0149,Beauty,Makeup,Pine,57.9,39.48,1
P0150,Grocery,Beverages,Zenith,6.93,3.6,1
P0151,Beauty,Fragrance,Aster,44.28,27.94,1
P0152,Grocery,Snacks,Aster,10.38,7.11,1
P0153,Electronics,Mobile,Atlas,900.0,417.44,1
P0154,Clothing,Footwear,Zenith,72.76,36.62,1
P0155,Clothing,Women,Nimbus,45.82,24.0,1
P0156,Clothing,Women,Nimbus,97.25,69.87,0
P0157,Sports,Fitness,Nimbus,180.0,107.0,1
P0158,Home,Kitchen,Aster,56.79,27.1,0
P0159,Home,Cleaning,Nova,121.23,64.57,1
P0160,Grocery,Fresh,Aster,5.7,4.26,1
P0161,Sports,Outdoor,Kite,34.53,24.31,1
P0162,Sports,Fitness,Orchid,180.0,128.38,1
P0163,Beauty,Haircare,Nimbus,20.89,15.39,0
P0164,Grocery,Pantry,Nova,12.44,8.13,0
P0165,Grocery,Beverages,Pine,15.0,9.28,1
P0166,Grocery,Beverages,Atlas,6.17,3.38,1
P0167,Grocery,Pantry,Pine,7.32,5.28,1
P0168,Electronics,Accessories,Orchid,248.37,141.64,1
P0169,Sports,TeamSports,Nova,43.54,22.93,1
P0170,Clothing,Footwear,Aster,71.98,45.21,0
P0171,Grocery,Fresh,Aster,3.86,2.08,1
P0172,Grocery,Beverages,Kite,15.0,8.82,0
P0173,Grocery,Snacks,Kite,13.53,7.52,1
P0174,Grocery,Snacks,Aster,12.43,7.51,1
P0175,Grocery,Fresh,Pine,7.53,4.62,1
P0176,Grocery,Pantry,Atlas,11.9,7.46,0
P0177,Beauty,Makeup,Nimbus,60.0,30.61,0
P0178,Sports,TeamSports,Pine,59.71,27.05,1
P0179,Electronics,Computing,Atlas,330.03,220.96,1
P0180,Clothing,Kids,Kite,37.63,21.63,1
P0181,Beauty,Skincare,Orchid,51.98,36.14,1
P0182,Grocery,Fresh,Atlas,9.4,4.99,0
P0183,Grocery,Snacks,Aster,3.87,2.63,1
P0184,Beauty,Fragrance,Kite,25.18,12.46,1
P0185,Grocery,Beverages,Kite,15.0,6.84,1
P0186,Clothing,Women,Nimbus,48.49,29.35,1
P0187,Clothing,Kids,Aster,53.53,29.9,1
P0188,Electronics,Mobile,Nimbus,900.0,575.68,0
P0189,Electronics,Mobile,Aster,900.0,596.29,0
P0190,Home,Furniture,Nimbus,150.76,111.82,1
P0191,Grocery,Pantry,Atlas,6.79,3.25,1
P0192,Grocery,Pantry,Pine,6.7,3.26,0
P0193,Home,Decor,Orchid,100.93,46.35,0
P0194,Clothing,Men,Orchid,107.46,52.94,0
P0195,Grocery,Fresh,Aster,4.91,2.39,1
P0196,Beauty,Fragrance,Nova,41.72,27.17,1
P0197,Electronics,Accessories,Zenith,162.64,96.73,1
P0198,Beauty,Fragrance,Kite,42.63,24.13,1
P0199,Beauty,Haircare,Kite,37.41,23.75,1
P0200,Home,Cleaning,Aster,106.31,50.95,1
P0201,Clothing,Footwear,Atlas,120.0,73.23,1
P0202,Sports,TeamSports,Nimbus,95.52,55.29,1
P0203,Grocery,Pantry,Nova,4.66,3.44,1
P0204,Home,Furniture,Pine,123.68,90.99,0
P0205,Grocery,Beverages,Nimbus,9.14,5.97,1
P0206,Electronics,Accessories,Nimbus,519.17,282.93,1
P0207,Electronics,Computing,Aster,297.57,161.84,1
P0208,Sports,Outdoor,Aster,95.14,67.1,1
P0209,Sports,TeamSports,Atlas,45.33,22.61,0
P0210,Grocery,Pantry,Kite,12.01,5.47,1
P0211,Grocery,Snacks,Aster,6.74,4.93,1
P0212,Home,Cleaning,Aster,62.81,44.81,1
