store_id,store_type,region,city,opening_date
S001,Outlet,Central,Grandview,2017-09-15
S002,Mall,North,Winterton,2019-11-10
S003,Mall,Central,Centrum,2021-02-17
S004,OnlineHub,North,Frostford,2022-08-17
S005,Mall,Central,Grandview,2019-04-23
S006,Outlet,South,Southport,2016-08-24
S007,Outlet,Central,Grandview,2018-11-26
S008,Street,Central,Grandview,2019-08-04
S009,Street,Central,Centrum,2024-06-06
S010,Street,West,Oakridge,2018-02-19
S011,Mall,South,Southport,2016-02-06
S012,Outlet,North,Northville,2018-07-24
S013,Street,South,Sunvale,2019-07-24
S014,Outlet,North,Winterton,2024-08-14
S015,Mall,West,Oakridge,2023-04-03
S016,OnlineHub,South,Baytown,2024-08-23
S017,Street,Central,Centrum,2023-10-27
S018,Mall,West,Oakridge,2016-10-05
S019,Mall,Central,Centrum,2023-09-25
S020,Outlet,North,Northville,2023-03-06
S021,Street,Central,Grandview,2018-05-28
S022,Outlet,Central,Centrum,2023-03-03
S023,Mall,East,Rivermouth,2019-10-12
S024,Mall,East,Lakeview,2018-08-23
S025,Street,West,Hillcrest,2020-03-09
S026,Street,North,Frostford,2024-08-04
S027,Street,East,Easton,2023-05-16
S028,OnlineHub,South,Baytown,2018-02-02
S029,OnlineHub,North,Winterton,2020-05-08
S030,OnlineHub,South,Southport,2023-08-07
S031,Outlet,North,Frostford,2020-09-29
S032,Mall,North,Frostford,2023-05-21
S033,Street,North,Frostford,2023-06-20
S034,Street,Central,Midtown,2023-01-21
S035,Outlet,East,Rivermouth,2016-01-23
S036,Mall,Central,Grandview,2020-04-01
S037,Street,East,Easton,2021-02-04
S038,Mall,South,Southport,2019-10-04
S039,Street,East,Rivermouth,2017-12-20
S040,Outlet,East,Easton,2019-06-06
S041,Outlet,North,Winterton,2017-12-20
S042,Mall,West,Oakridge,2018-05-26
S043,OnlineHub,North,Winterton,2017-10-10
S044,Street,East,Rivermouth,2024-10-21
S045,Mall,West,Oakridge,2018-12-17
S046,Mall,North,Northville,2025-01-17
S047,Mall,North,Winterton,2016-05-09
S048,Mall,West,Hillcrest,2024-01-07
S049,OnlineHub,East,Lakeview,2023-12-06
S050,Street,North,Northville,2019-02-18
