transaction_id,customer_id,store_id,product_id,transaction_date,channel,quantity,discount_pct,year_month
T0042714,C00010,S007,P0200,2025-08-01,InStore,2,0.0,2025-08
T0024445,C00094,S017,P0140,2025-08-01,InStore,1,0.0,2025-08
T0008413,C00164,S038,P0225,2025-08-01,Online,2,0.0,2025-08
T0037032,C00197,S039,P0105,2025-08-01,Mobile,2,0.0,2025-08
T0024521,C00104,S023,P0103,2025-08-01,InStore,1,0.0,2025-08
T0024567,C00207,S017,P0189,2025-08-01,InStore,1,0.0,2025-08
T0019791,C00142,S020,P0196,2025-08-01,Online,2,0.0,2025-08
T0015720,C00154,S027,P0127,2025-08-01,InStore,1,0.0,2025-08
T0012642,C00060,S008,P0213,2025-08-01,Mobile,1,0.0,2025-08
T0012667,C00043,S025,P0139,2025-08-01,Online,1,0.0,2025-08
T0034330,C00064,S040,P0129,2025-08-01,InStore,2,0.1,2025-08
T0034344,C00157,S022,P0018,2025-08-01,InStore,4,0.0,2025-08
T0019618,C00176,S005,P0053,2025-08-01,InStore,3,0.05,2025-08
T0044448,C00040,S016,P0107,2025-08-01,Mobile,1,0.0,2025-08
T0003986,C00228,S025,P0045,2025-08-01,InStore,2,0.0,2025-08
T0034387,C00206,S018,P0168,2025-08-01,Mobile,2,0.0,2025-08
T0048375,C00040,S011,P0056,2025-08-01,InStore,1,0.1,2025-08
T0044179,C00189,S019,P0154,2025-08-01,Mobile,2,0.0,2025-08
T0006321,C00108,S022,P0232,2025-08-01,Online,2,0.0,2025-08
T0034422,C00129,S019,P0063,2025-08-01,InStore,1,0.0,2025-08
T0024838,C00030,S035,P0029,2025-08-01,Online,2,0.0,2025-08
T0019589,C00221,S006,P0205,2025-08-01,InStore,2,0.0,2025-08
T0007614,C00013,S020,P0016,2025-08-01,InStore,1,0.0,2025-08
T0015902,C00170,S033,P0175,2025-08-01,InStore,3,0.0,2025-08
T0019586,C00211,S027,P0028,2025-08-01,InStore,1,0.1,2025-08
T0028190,C00031,S010,P0027,2025-08-01,InStore,2,0.0,2025-08
T0024880,C00094,S005,P0085,2025-08-01,InStore,1,0.0,2025-08
T0030875,C00236,S018,P0174,2025-08-01,InStore,3,0.0,2025-08
T0007605,C00203,S005,P0047,2025-08-01,Online,2,0.15,2025-08
T0027272,C00187,S036,P0208,2025-08-01,InStore,1,0.1,2025-08
T0020094,C00220,S034,P0170,2025-08-01,InStore,2,0.0,2025-08
T0010748,C00135,S045,P0002,2025-08-01,Online,1,0.0,2025-08
T0037195,C00196,S046,P0099,2025-08-01,InStore,1,0.0,2025-08
T0047899,C00231,S006,P0081,2025-08-01,InStore,1,0.1,2025-08
T0044762,C00007,S005,P0209,2025-08-01,InStore,1,0.0,2025-08
T0041221,C00055,S049,P0034,2025-08-01,Mobile,1,0.0,2025-08
T0044705,C00153,S027,P0205,2025-08-01,InStore,2,0.0,2025-08
T0005766,C00246,S044,P0221,2025-08-01,Online,1,0.0,2025-08
T0044692,C00208,S033,P0099,2025-08-01,Online,1,0.0,2025-08
T0020273,C00228,S045,P0123,2025-08-01,Online,1,0.0,2025-08
T0020272,C00008,S030,P0125,2025-08-01,Online,1,0.0,2025-08
T0044682,C00058,S045,P0179,2025-08-01,InStore,1,0.0,2025-08
T0024293,C00208,S046,P0168,2025-08-01,Online,3,0.2,2025-08
T0044504,C00004,S011,P0041,2025-08-01,Online,1,0.0,2025-08
T0034029,C00170,S041,P0080,2025-08-01,Online,1,0.25,2025-08
T0044638,C00123,S007,P0005,2025-08-01,InStore,1,0.15,2025-08
T0027285,C00101,S038,P0106,2025-08-01,InStore,1,0.0,2025-08
T0044582,C00094,S003,P0129,2025-08-01,InStore,1,0.0,2025-08
T0044574,C00215,S005,P0119,2025-08-01,InStore,1,0.0,2025-08
T0005790,C00106,S017,P0110,2025-08-01,Mobile,2,0.0,2025-08
T0044517,C00119,S023,P0107,2025-08-01,InStore,1,0.0,2025-08
T0013592,C00062,S027,P0233,2025-08-01,Online,3,0.0,2025-08
T0002703,C00108,S016,P0216,2025-08-01,Online,1,0.0,2025-08
T0041842,C00160,S032,P0035,2025-08-01,InStore,3,0.0,2025-08
T0003934,C00009,S035,P0177,2025-08-01,InStore,1,0.0,2025-08
T0024430,C00080,S026,P0125,2025-08-01,InStore,1,0.15,2025-08
T0009063,C00144,S028,P0121,2025-08-01,Online,2,0.0,2025-08
T0031148,C00082,S011,P0087,2025-08-01,Online,1,0.25,2025-08
T0029317,C00184,S038,P0102,2025-08-01,Online,1,0.2,2025-08
T0048451,C00127,S041,P0149,2025-08-01,InStore,2,0.25,2025-08
T0034456,C00131,S001,P0043,2025-08-01,InStore,1,0.2,2025-08
T0000320,C00096,S003,P0045,2025-08-01,Mobile,1,0.0,2025-08
T0041653,C00213,S035,P0154,2025-08-01,InStore,1,0.0,2025-08
T0049027,C00156,S016,P0058,2025-08-01,Mobile,3,0.0,2025-08
T0043720,C00121,S044,P0056,2025-08-01,InStore,3,0.0,2025-08
T0006964,C00047,S040,P0124,2025-08-01,Online,1,0.0,2025-08
T0049035,C00108,S011,P0085,2025-08-01,InStore,1,0.05,2025-08
T0004630,C00166,S027,P0098,2025-08-01,InStore,3,0.0,2025-08
T0025435,C00144,S013,P0107,2025-08-01,InStore,4,0.0,2025-08
T0013186,C00171,S036,P0084,2025-08-01,InStore,2,0.0,2025-08
T0030493,C00013,S039,P0007,2025-08-01,Mobile,1,0.15,2025-08
T0030463,C00144,S011,P0148,2025-08-01,InStore,1,0.0,2025-08
T0049049,C00116,S041,P0202,2025-08-01,InStore,1,0.0,2025-08
T0041654,C00230,S033,P0032,2025-08-01,Mobile,3,0.0,2025-08
T0043648,C00121,S027,P0016,2025-08-01,InStore,1,0.0,2025-08
T0014428,C00006,S043,P0155,2025-08-01,Mobile,2,0.0,2025-08
T0040067,C00105,S038,P0161,2025-08-01,Online,2,0.05,2025-08
T0028359,C00226,S008,P0127,2025-08-01,Online,1,0.25,2025-08
T0018679,C00228,S042,P0228,2025-08-01,Online,2,0.0,2025-08
T0049147,C00179,S047,P0201,2025-08-01,InStore,1,0.0,2025-08
T0049165,C00164,S024,P0018,2025-08-01,InStore,2,0.0,2025-08
T0043582,C00044,S041,P0007,2025-08-01,InStore,2,0.2,2025-08
T0036419,C00241,S024,P0072,2025-08-01,Online,1,0.0,2025-08
T0014379,C00182,S042,P0118,2025-08-01,InStore,1,0.0,2025-08
T0010441,C00127,S043,P0066,2025-08-01,Online,1,0.0,2025-08
T0025571,C00081,S027,P0068,2025-08-01,InStore,1,0.0,2025-08
T0025581,C00233,S019,P0173,2025-08-01,Mobile,2,0.0,2025-08
T0040060,C00029,S010,P0008,2025-08-01,InStore,1,0.0,2025-08
T0028323,C00161,S030,P0184,2025-08-01,Online,3,0.0,2025-08
T0019053,C00080,S012,P0083,2025-08-01,InStore,3,0.0,2025-08
T0041349,C00193,S027,P0224,2025-08-01,Online,4,0.0,2025-08
T0007593,C00006,S014,P0114,2025-08-01,InStore,4,0.0,2025-08
T0044083,C00196,S046,P0170,2025-08-01,Online,1,0.0,2025-08
T0039643,C00069,S049,P0163,2025-08-01,Online,1,0.0,2025-08
T0041322,C00062,S049,P0116,2025-08-01,Mobile,1,0.0,2025-08
T0024952,C00168,S002,P0101,2025-08-01,InStore,2,0.0,2025-08
T0009258,C00163,S043,P0221,2025-08-01,Online,2,0.0,2025-08
T0039662,C00082,S017,P0222,2025-08-01,Online,1,0.3,2025-08
T0048620,C00028,S033,P0243,2025-08-01,Online,1,0.0,2025-08
T0043985,C00056,S044,P0094,2025-08-01,InStore,1,0.0,2025-08
T0001857,C00115,S049,P0032,2025-08-01,Mobile,3,0.0,2025-08
T0025186,C00065,S010,P0155,2025-08-01,InStore,1,0.05,2025-08
T0030660,C00141,S009,P0018,2025-08-01,InStore,2,0.0,2025-08
T0013517,C00150,S023,P0119,2025-08-01,Online,1,0.0,2025-08
T0041703,C00076,S044,P0230,2025-08-01,InStore,1,0.0,2025-08
T0016308,C00112,S039,P0106,2025-08-01,InStore,1,0.0,2025-08
T0009312,C00166,S040,P0216,2025-08-01,InStore,1,0.0,2025-08
T0009325,C00060,S036,P0049,2025-08-01,InStore,1,0.0,2025-08
T0048816,C00081,S015,P0009,2025-08-01,InStore,2,0.1,2025-08
T0019197,C00203,S024,P0065,2025-08-01,InStore,1,0.0,2025-08
T0048839,C00099,S005,P0230,2025-08-01,InStore,4,0.0,2025-08
T0009341,C00117,S017,P0182,2025-08-01,Online,1,0.0,2025-08
T0039787,C00185,S039,P0188,2025-08-01,InStore,1,0.0,2025-08
T0041347,C00221,S028,P0125,2025-08-01,Mobile,3,0.0,2025-08
T0009356,C00206,S042,P0219,2025-08-01,Mobile,1,0.0,2025-08
T0000357,C00130,S042,P0157,2025-08-01,Mobile,2,0.0,2025-08
T0006617,C00108,S028,P0146,2025-08-01,Mobile,1,0.0,2025-08
T0017295,C00197,S024,P0048,2025-08-01,Online,1,0.3,2025-08
T0027334,C00098,S016,P0067,2025-08-01,Online,1,0.0,2025-08
T0017110,C00187,S034,P0037,2025-08-01,InStore,1,0.0,2025-08
T0024117,C00146,S037,P0162,2025-08-01,Online,1,0.0,2025-08
T0044898,C00228,S015,P0090,2025-08-01,InStore,1,0.0,2025-08
T0001005,C00134,S003,P0121,2025-08-01,InStore,2,0.0,2025-08
T0010047,C00153,S040,P0083,2025-08-01,InStore,1,0.0,2025-08
T0021638,C00142,S020,P0151,2025-08-01,Mobile,2,0.0,2025-08
T0037815,C00162,S019,P0198,2025-08-01,Online,1,0.0,2025-08
T0003707,C00117,S005,P0036,2025-08-01,Mobile,1,0.0,2025-08
T0021574,C00246,S044,P0016,2025-08-01,InStore,1,0.0,2025-08
T0005418,C00080,S047,P0080,2025-08-01,InStore,1,0.0,2025-08
T0022997,C00198,S005,P0134,2025-08-01,Online,1,0.0,2025-08
T0032309,C00161,S013,P0230,2025-08-01,InStore,1,0.0,2025-08
T0015622,C00072,S034,P0070,2025-08-01,Online,1,0.0,2025-08
T0037739,C00237,S027,P0047,2025-08-01,InStore,1,0.0,2025-08
T0012204,C00247,S026,P0224,2025-08-01,Online,5,0.0,2025-08
T0010459,C00249,S037,P0205,2025-08-01,InStore,3,0.0,2025-08
T0013756,C00225,S018,P0197,2025-08-01,InStore,1,0.0,2025-08
T0013939,C00014,S020,P0084,2025-08-01,InStore,2,0.15,2025-08
T0047009,C00234,S011,P0119,2025-08-01,InStore,2,0.0,2025-08
T0023169,C00175,S034,P0066,2025-08-01,InStore,1,0.0,2025-08
T0047074,C00063,S007,P0123,2025-08-01,Online,1,0.0,2025-08
T0021330,C00196,S029,P0016,2025-08-01,Mobile,1,0.0,2025-08
T0045615,C00029,S042,P0180,2025-08-01,Mobile,1,0.05,2025-08
T0006385,C00033,S024,P0056,2025-08-01,Online,1,0.0,2025-08
T0005474,C00114,S020,P0063,2025-08-01,Online,1,0.0,2025-08
T0021283,C00056,S035,P0042,2025-08-01,Online,3,0.0,2025-08
T0016983,C00007,S019,P0063,2025-08-01,InStore,1,0.0,2025-08
T0047106,C00194,S025,P0050,2025-08-01,InStore,1,0.0,2025-08
T0041121,C00236,S042,P0211,2025-08-01,Online,1,0.0,2025-08
T0045687,C00177,S040,P0090,2025-08-01,Mobile,1,0.0,2025-08
T0002404,C00164,S028,P0205,2025-08-01,Mobile,1,0.0,2025-08
T0027659,C00184,S018,P0046,2025-08-01,InStore,1,0.0,2025-08
T0033144,C00072,S038,P0008,2025-08-01,InStore,1,0.0,2025-08
T0005276,C00193,S039,P0219,2025-08-01,Online,1,0.0,2025-08
T0022298,C00186,S044,P0138,2025-08-01,Online,2,0.0,2025-08
T0003632,C00174,S042,P0077,2025-08-01,InStore,2,0.0,2025-08
T0003620,C00202,S040,P0209,2025-08-01,Online,1,0.0,2025-08
T0022200,C00189,S034,P0236,2025-08-01,InStore,2,0.0,2025-08
T0001156,C00040,S028,P0148,2025-08-01,Online,1,0.0,2025-08
T0046316,C00216,S015,P0074,2025-08-01,Online,1,0.0,2025-08
T0022163,C00043,S010,P0006,2025-08-01,Online,1,0.0,2025-08
T0032773,C00002,S006,P0101,2025-08-01,Online,1,0.0,2025-08
T0032942,C00227,S025,P0100,2025-08-01,InStore,2,0.0,2025-08
T0005240,C00068,S042,P0089,2025-08-01,InStore,1,0.0,2025-08
T0038140,C00196,S022,P0222,2025-08-01,InStore,1,0.0,2025-08
T0038151,C00165,S030,P0193,2025-08-01,Mobile,1,0.0,2025-08
T0032694,C00139,S004,P0133,2025-08-01,Mobile,1,0.0,2025-08
T0042160,C00196,S029,P0209,2025-08-01,Mobile,2,0.0,2025-08
T0033023,C00016,S010,P0060,2025-08-01,Online,1,0.0,2025-08
T0022525,C00210,S047,P0082,2025-08-01,Mobile,1,0.0,2025-08
T0027645,C00200,S015,P0065,2025-08-01,InStore,2,0.0,2025-08
T0014713,C00174,S025,P0214,2025-08-01,InStore,3,0.0,2025-08
T0001224,C00074,S048,P0239,2025-08-01,Mobile,2,0.0,2025-08
T0027521,C00134,S008,P0017,2025-08-01,InStore,1,0.05,2025-08
T0022625,C00211,S035,P0095,2025-08-01,Online,2,0.05,2025-08
T0010710,C00229,S009,P0182,2025-08-01,Online,4,0.0,2025-08
T0022650,C00183,S003,P0250,2025-08-01,Online,1,0.0,2025-08
T0021893,C00187,S009,P0148,2025-08-01,Mobile,1,0.0,2025-08
T0032546,C00007,S021,P0016,2025-08-01,InStore,1,0.0,2025-08
T0021848,C00224,S043,P0229,2025-08-01,Online,5,0.0,2025-08
T0013747,C00132,S015,P0097,2025-08-01,Mobile,2,0.0,2025-08
T0017410,C00111,S040,P0155,2025-08-01,InStore,1,0.0,2025-08
T0021233,C00165,S013,P0040,2025-08-01,InStore,2,0.15,2025-08
T0045521,C00166,S037,P0186,2025-08-01,InStore,1,0.0,2025-08
T0005626,C00213,S045,P0074,2025-08-01,Online,1,0.0,2025-08
T0003827,C00151,S035,P0162,2025-08-01,Online,3,0.05,2025-08
T0023738,C00195,S048,P0187,2025-08-01,InStore,1,0.0,2025-08
T0012126,C00120,S007,P0130,2025-08-01,Online,1,0.2,2025-08
T0037405,C00179,S033,P0031,2025-08-01,Online,2,0.0,2025-08
T0016593,C00176,S034,P0120,2025-08-01,Online,1,0.0,2025-08
T0039043,C00059,S015,P0073,2025-08-01,InStore,1,0.3,2025-08
T0015071,C00014,S047,P0068,2025-08-01,InStore,1,0.0,2025-08
T0037370,C00018,S007,P0006,2025-08-01,InStore,2,0.0,2025-08
T0039078,C00075,S048,P0217,2025-08-01,InStore,1,0.0,2025-08
T0047654,C00154,S049,P0076,2025-08-01,Online,2,0.0,2025-08
T0033799,C00034,S010,P0020,2025-08-01,Mobile,1,0.0,2025-08
T0007981,C00065,S015,P0238,2025-08-01,InStore,1,0.0,2025-08
T0003861,C00029,S045,P0238,2025-08-01,Mobile,1,0.0,2025-08
